관측시간,실측조위(Cm),예측조위(Cm),잔차(Cm)
2013-04-29 3:05,81,78,3
2013-04-29 3:06,80,78,2
2013-04-29 3:07,79,78,1
2013-04-29 3:08,79,78,1
2013-04-29 3:09,78,78,0
2013-04-29 3:10,78,78,0
2013-04-29 3:11,77,78,-1
2013-04-29 3:12,77,78,-1
2013-04-29 3:13,76,78,-2
2013-04-29 3:14,76,78,-2
2013-04-29 3:15,76,78,-2
2013-04-29 3:16,74,78,-4
2013-04-29 3:17,74,78,-4
2013-04-29 3:18,74,78,-4
2013-04-29 3:19,74,78,-4
2013-04-29 3:20,73,78,-5
2013-04-29 3:21,74,78,-4
2013-04-29 3:22,74,79,-5
2013-04-29 3:23,74,79,-5
2013-04-29 3:24,74,79,-5
2013-04-29 3:25,75,79,-4
2013-04-29 3:26,75,79,-4
2013-04-29 3:27,76,80,-4
2013-04-29 3:28,77,80,-3
2013-04-29 3:29,78,80,-2
2013-04-29 3:30,79,81,-2
2013-04-29 3:31,81,81,0
2013-04-29 3:32,83,81,2
2013-04-29 3:33,85,82,3
2013-04-29 3:34,88,82,6
2013-04-29 3:35,90,83,7
2013-04-29 3:36,93,83,10
2013-04-29 3:37,95,84,11
2013-04-29 3:38,98,84,14
2013-04-29 3:39,101,85,16
2013-04-29 3:40,103,85,18
2013-04-29 3:41,106,86,20
2013-04-29 3:42,108,87,21
2013-04-29 3:43,111,87,24
2013-04-29 3:44,113,88,25
2013-04-29 3:45,115,88,27
2013-04-29 3:46,117,89,28
2013-04-29 3:47,119,90,29
2013-04-29 3:48,121,91,30
2013-04-29 3:49,123,91,32
2013-04-29 3:50,125,92,33
2013-04-29 3:51,126,93,33
2013-04-29 3:52,129,94,35
2013-04-29 3:53,131,95,36
2013-04-29 3:54,133,96,37
2013-04-29 3:55,135,97,38
2013-04-29 3:56,137,97,40
2013-04-29 3:57,139,98,41
2013-04-29 3:58,141,99,42
2013-04-29 3:59,143,100,43
2013-04-29 4:00,145,101,44
2013-04-29 4:01,147,103,44
2013-04-29 4:02,149,104,45
2013-04-29 4:03,150,105,45
2013-04-29 4:04,152,106,46
2013-04-29 4:05,154,107,47
2013-04-29 4:06,156,108,48
2013-04-29 4:07,157,109,48
2013-04-29 4:08,159,111,48
2013-04-29 4:09,161,112,49
2013-04-29 4:10,162,113,49
2013-04-29 4:11,164,114,50
2013-04-29 4:12,166,116,50
2013-04-29 4:13,167,117,50
2013-04-29 4:14,169,118,51
2013-04-29 4:15,170,120,50
2013-04-29 4:16,172,121,51
2013-04-29 4:17,173,123,50
2013-04-29 4:18,175,124,51
2013-04-29 4:19,176,126,50
2013-04-29 4:20,177,127,50
2013-04-29 4:21,179,129,50
2013-04-29 4:22,181,130,51
2013-04-29 4:23,182,132,50
2013-04-29 4:24,184,134,50
2013-04-29 4:25,185,135,50
2013-04-29 4:26,187,137,50
2013-04-29 4:27,188,139,49
2013-04-29 4:28,190,140,50
2013-04-29 4:29,191,142,49
2013-04-29 4:30,193,144,49
2013-04-29 4:31,194,146,48
2013-04-29 4:32,196,148,48
2013-04-29 4:33,198,149,49
2013-04-29 4:34,199,151,48
2013-04-29 4:35,201,153,48
2013-04-29 4:36,203,155,48
2013-04-29 4:37,205,157,48
2013-04-29 4:38,206,159,47
2013-04-29 4:39,208,161,47
2013-04-29 4:40,210,163,47
2013-04-29 4:41,211,165,46
2013-04-29 4:42,213,167,46
2013-04-29 4:43,215,170,45
2013-04-29 4:44,217,172,45
2013-04-29 4:45,219,174,45
2013-04-29 4:46,222,176,46
2013-04-29 4:47,223,178,45
2013-04-29 4:48,225,181,44
2013-04-29 4:49,228,183,45
2013-04-29 4:50,229,185,44
2013-04-29 4:51,232,187,45
2013-04-29 4:52,234,190,44
2013-04-29 4:53,236,192,44
2013-04-29 4:54,238,195,43
2013-04-29 4:55,240,197,43
2013-04-29 4:56,242,199,43
2013-04-29 4:57,245,202,43
2013-04-29 4:58,248,204,44
2013-04-29 4:59,250,207,43
2013-04-29 5:00,252,209,43
2013-04-29 5:01,255,212,43
2013-04-29 5:02,257,215,42
2013-04-29 5:03,259,217,42
2013-04-29 5:04,261,220,41
2013-04-29 5:05,261,223,38
2013-04-29 5:06,265,225,40
2013-04-29 5:07,268,228,40
2013-04-29 5:08,271,231,40
2013-04-29 5:09,274,234,40
2013-04-29 5:10,276,236,40
2013-04-29 5:11,279,239,40
2013-04-29 5:12,281,242,39
2013-04-29 5:13,284,245,39
2013-04-29 5:14,287,248,39
2013-04-29 5:15,289,251,38
2013-04-29 5:16,292,254,38
2013-04-29 5:17,295,257,38
2013-04-29 5:18,298,260,38
2013-04-29 5:19,301,263,38
2013-04-29 5:20,304,266,38
2013-04-29 5:21,307,269,38
2013-04-29 5:22,310,272,38
2013-04-29 5:23,313,275,38
2013-04-29 5:24,316,278,38
2013-04-29 5:25,319,281,38
2013-04-29 5:26,323,284,39
2013-04-29 5:27,326,287,39
2013-04-29 5:28,330,290,40
2013-04-29 5:29,333,294,39
2013-04-29 5:30,337,297,40
2013-04-29 5:31,340,300,40
2013-04-29 5:32,344,303,41
2013-04-29 5:33,348,307,41
2013-04-29 5:34,352,310,42
2013-04-29 5:35,356,313,43
2013-04-29 5:36,360,317,43
2013-04-29 5:37,364,320,44
2013-04-29 5:38,367,323,44
2013-04-29 5:39,372,327,45
2013-04-29 5:40,375,330,45
2013-04-29 5:41,379,333,46
2013-04-29 5:42,383,337,46
2013-04-29 5:43,387,340,47
2013-04-29 5:44,390,344,46
2013-04-29 5:45,394,347,47
2013-04-29 5:46,397,351,46
2013-04-29 5:47,401,354,47
2013-04-29 5:48,405,358,47
2013-04-29 5:49,409,361,48
2013-04-29 5:50,412,365,47
2013-04-29 5:51,416,368,48
2013-04-29 5:52,419,372,47
2013-04-29 5:53,423,375,48
2013-04-29 5:54,427,379,48
2013-04-29 5:55,431,383,48
2013-04-29 5:56,435,386,49
2013-04-29 5:57,439,390,49
2013-04-29 5:58,442,393,49
2013-04-29 5:59,446,397,49
2013-04-29 6:00,450,401,49
2013-04-29 6:01,453,404,49
2013-04-29 6:02,457,408,49
2013-04-29 6:03,461,412,49
2013-04-29 6:04,465,415,50
2013-04-29 6:05,469,419,50
2013-04-29 6:06,473,423,50
2013-04-29 6:07,477,426,51
2013-04-29 6:08,481,430,51
2013-04-29 6:09,485,434,51
2013-04-29 6:10,489,437,52
2013-04-29 6:11,493,441,52
2013-04-29 6:12,498,445,53
2013-04-29 6:13,501,448,53
2013-04-29 6:14,506,452,54
2013-04-29 6:15,510,456,54
2013-04-29 6:16,514,459,55
2013-04-29 6:17,519,463,56
2013-04-29 6:18,524,467,57
2013-04-29 6:19,527,470,57
2013-04-29 6:20,532,474,58
2013-04-29 6:21,536,478,58
2013-04-29 6:22,540,481,59
2013-04-29 6:23,544,485,59
2013-04-29 6:24,548,489,59
2013-04-29 6:25,552,492,60
2013-04-29 6:26,556,496,60
2013-04-29 6:27,560,499,61
2013-04-29 6:28,564,503,61
2013-04-29 6:29,566,507,59
2013-04-29 6:30,570,510,60
2013-04-29 6:31,573,514,59
2013-04-29 6:32,577,518,59
2013-04-29 6:33,580,521,59
2013-04-29 6:34,584,525,59
2013-04-29 6:35,587,528,59
2013-04-29 6:36,590,532,58
2013-04-29 6:37,594,535,59
2013-04-29 6:38,598,539,59
2013-04-29 6:39,601,542,59
2013-04-29 6:40,604,546,58
2013-04-29 6:41,607,549,58
2013-04-29 6:42,610,553,57
2013-04-29 6:43,613,556,57
2013-04-29 6:44,617,560,57
2013-04-29 6:45,620,563,57
2013-04-29 6:46,622,566,56
2013-04-29 6:47,625,570,55
2013-04-29 6:48,628,573,55
2013-04-29 6:49,630,576,54
2013-04-29 6:50,633,580,53
2013-04-29 6:51,636,583,53
2013-04-29 6:52,639,586,53
2013-04-29 6:53,642,589,53
2013-04-29 6:54,646,593,53
2013-04-29 6:55,649,596,53
2013-04-29 6:56,653,599,54
2013-04-29 6:57,655,602,53
2013-04-29 6:58,658,605,53
2013-04-29 6:59,661,608,53
2013-04-29 7:00,664,611,53
2013-04-29 7:01,668,615,53
2013-04-29 7:02,671,618,53
2013-04-29 7:03,674,621,53
2013-04-29 7:04,677,624,53
2013-04-29 7:05,681,626,55
2013-04-29 7:06,684,629,55
2013-04-29 7:07,687,632,55
2013-04-29 7:08,690,635,55
2013-04-29 7:09,692,638,54
2013-04-29 7:10,695,641,54
2013-04-29 7:11,697,643,54
2013-04-29 7:12,699,646,53
2013-04-29 7:13,701,649,52
2013-04-29 7:14,704,651,53
2013-04-29 7:15,706,654,52
2013-04-29 7:16,709,657,52
2013-04-29 7:17,711,659,52
2013-04-29 7:18,712,662,50
2013-04-29 7:19,714,664,50
2013-04-29 7:20,716,667,49
2013-04-29 7:21,718,669,49
2013-04-29 7:22,720,671,49
2013-04-29 7:23,722,674,48
2013-04-29 7:24,724,676,48
2013-04-29 7:25,725,678,47
2013-04-29 7:26,727,681,46
2013-04-29 7:27,729,683,46
2013-04-29 7:28,730,685,45
2013-04-29 7:29,731,687,44
2013-04-29 7:30,733,689,44
2013-04-29 7:31,734,691,43
2013-04-29 7:32,736,693,43
2013-04-29 7:33,737,695,42
2013-04-29 7:34,739,697,42
2013-04-29 7:35,740,699,41
2013-04-29 7:36,742,701,41
2013-04-29 7:37,744,702,42
2013-04-29 7:38,746,704,42
2013-04-29 7:39,748,706,42
2013-04-29 7:40,750,707,43
2013-04-29 7:41,751,709,42
2013-04-29 7:42,753,711,42
2013-04-29 7:43,754,712,42
2013-04-29 7:44,755,714,41
2013-04-29 7:45,757,715,42
2013-04-29 7:46,758,716,42
2013-04-29 7:47,759,718,41
2013-04-29 7:48,759,719,40
2013-04-29 7:49,761,720,41
2013-04-29 7:50,762,722,40
2013-04-29 7:51,763,723,40
2013-04-29 7:52,-,724,-
2013-04-29 7:53,-,725,-
2013-04-29 7:54,-,726,-
2013-04-29 7:55,764,727,37
2013-04-29 7:56,764,728,36
2013-04-29 7:57,765,729,36
2013-04-29 7:58,765,730,35
2013-04-29 7:59,765,731,34
2013-04-29 8:00,766,731,35
2013-04-29 8:01,766,732,34
2013-04-29 8:02,767,733,34
2013-04-29 8:03,767,733,34
2013-04-29 8:04,767,734,33
2013-04-29 8:05,767,735,32
2013-04-29 8:06,767,735,32
2013-04-29 8:07,767,736,31
2013-04-29 8:08,768,736,32
2013-04-29 8:09,768,736,32
2013-04-29 8:10,768,737,31
2013-04-29 8:11,769,737,32
2013-04-29 8:12,769,737,32
2013-04-29 8:13,769,737,32
2013-04-29 8:14,769,737,32
2013-04-29 8:15,768,738,30
2013-04-29 8:16,768,738,30
2013-04-29 8:17,768,738,30
2013-04-29 8:18,768,738,30
2013-04-29 8:19,767,738,29
2013-04-29 8:20,766,737,29
2013-04-29 8:21,766,737,29
2013-04-29 8:22,765,737,28
2013-04-29 8:23,765,737,28
2013-04-29 8:24,765,737,28
2013-04-29 8:25,764,736,28
2013-04-29 8:26,764,736,28
2013-04-29 8:27,764,735,29
2013-04-29 8:28,764,735,29
2013-04-29 8:29,763,735,28
2013-04-29 8:30,763,734,29
2013-04-29 8:31,762,733,29
2013-04-29 8:32,761,733,28
2013-04-29 8:33,759,732,27
2013-04-29 8:34,759,731,28
2013-04-29 8:35,758,731,27
2013-04-29 8:36,758,730,28
2013-04-29 8:37,757,729,28
2013-04-29 8:38,756,728,28
2013-04-29 8:39,756,727,29
2013-04-29 8:40,755,727,28
2013-04-29 8:41,754,726,28
2013-04-29 8:42,753,725,28
2013-04-29 8:43,751,724,27
2013-04-29 8:44,750,723,27
2013-04-29 8:45,750,721,29
2013-04-29 8:46,748,720,28
2013-04-29 8:47,748,719,29
2013-04-29 8:48,747,718,29
2013-04-29 8:49,746,717,29
2013-04-29 8:50,744,715,29
2013-04-29 8:51,743,714,29
2013-04-29 8:52,741,713,28
2013-04-29 8:53,740,711,29
2013-04-29 8:54,738,710,28
2013-04-29 8:55,736,709,27
2013-04-29 8:56,734,707,27
2013-04-29 8:57,733,706,27
2013-04-29 8:58,731,704,27
2013-04-29 8:59,730,703,27
2013-04-29 9:00,728,701,27
2013-04-29 9:01,726,699,27
2013-04-29 9:02,724,698,26
2013-04-29 9:03,722,696,26
2013-04-29 9:04,720,695,25
2013-04-29 9:05,717,693,24
2013-04-29 9:06,715,691,24
2013-04-29 9:07,713,689,24
2013-04-29 9:08,711,688,23
2013-04-29 9:09,709,686,23
2013-04-29 9:10,707,684,23
2013-04-29 9:11,704,682,22
2013-04-29 9:12,702,680,22
2013-04-29 9:13,700,678,22
2013-04-29 9:14,697,676,21
2013-04-29 9:15,696,674,22
2013-04-29 9:16,694,673,21
2013-04-29 9:17,692,671,21
2013-04-29 9:18,690,669,21
2013-04-29 9:19,688,667,21
2013-04-29 9:20,687,665,22
2013-04-29 9:21,685,663,22
2013-04-29 9:22,683,660,23
2013-04-29 9:23,681,658,23
2013-04-29 9:24,679,656,23
2013-04-29 9:25,677,654,23
2013-04-29 9:26,675,652,23
2013-04-29 9:27,673,650,23
2013-04-29 9:28,670,648,22
2013-04-29 9:29,669,646,23
2013-04-29 9:30,667,644,23
2013-04-29 9:31,665,641,24
2013-04-29 9:32,663,639,24
2013-04-29 9:33,662,637,25
2013-04-29 9:34,659,635,24
2013-04-29 9:35,658,633,25
2013-04-29 9:36,656,630,26
2013-04-29 9:37,654,628,26
2013-04-29 9:38,652,626,26
2013-04-29 9:39,650,624,26
2013-04-29 9:40,648,621,27
2013-04-29 9:41,646,619,27
2013-04-29 9:42,644,617,27
2013-04-29 9:43,642,615,27
2013-04-29 9:44,640,612,28
2013-04-29 9:45,638,610,28
2013-04-29 9:46,636,608,28
2013-04-29 9:47,634,605,29
2013-04-29 9:48,632,603,29
2013-04-29 9:49,630,601,29
2013-04-29 9:50,627,598,29
2013-04-29 9:51,625,596,29
2013-04-29 9:52,623,594,29
2013-04-29 9:53,621,592,29
2013-04-29 9:54,619,589,30
2013-04-29 9:55,616,587,29
2013-04-29 9:56,614,585,29
2013-04-29 9:57,612,582,30
2013-04-29 9:58,610,580,30
2013-04-29 9:59,607,578,29
2013-04-29 10:00,605,575,30
2013-04-29 10:01,603,573,30
2013-04-29 10:02,601,571,30
2013-04-29 10:03,599,569,30
2013-04-29 10:04,597,566,31
2013-04-29 10:05,595,564,31
2013-04-29 10:06,593,562,31
2013-04-29 10:07,591,559,32
2013-04-29 10:08,588,557,31
2013-04-29 10:09,587,555,32
2013-04-29 10:10,585,553,32
2013-04-29 10:11,582,550,32
2013-04-29 10:12,580,548,32
2013-04-29 10:13,579,546,33
2013-04-29 10:14,577,544,33
2013-04-29 10:15,575,541,34
2013-04-29 10:16,573,539,34
2013-04-29 10:17,571,537,34
2013-04-29 10:18,569,535,34
2013-04-29 10:19,567,533,34
2013-04-29 10:20,566,530,36
2013-04-29 10:21,563,528,35
2013-04-29 10:22,561,526,35
2013-04-29 10:23,559,524,35
2013-04-29 10:24,557,522,35
2013-04-29 10:25,555,520,35
2013-04-29 10:26,553,518,35
2013-04-29 10:27,550,515,35
2013-04-29 10:28,548,513,35
2013-04-29 10:29,546,511,35
2013-04-29 10:30,544,509,35
2013-04-29 10:31,542,507,35
2013-04-29 10:32,540,505,35
2013-04-29 10:33,538,503,35
2013-04-29 10:34,536,501,35
2013-04-29 10:35,534,499,35
2013-04-29 10:36,532,497,35
2013-04-29 10:37,530,495,35
2013-04-29 10:38,528,493,35
2013-04-29 10:39,525,491,34
2013-04-29 10:40,524,489,35
2013-04-29 10:41,521,487,34
2013-04-29 10:42,519,485,34
2013-04-29 10:43,517,483,34
2013-04-29 10:44,515,481,34
2013-04-29 10:45,513,479,34
2013-04-29 10:46,510,477,33
2013-04-29 10:47,508,475,33
2013-04-29 10:48,506,474,32
2013-04-29 10:49,504,472,32
2013-04-29 10:50,503,470,33
2013-04-29 10:51,501,468,33
2013-04-29 10:52,499,466,33
2013-04-29 10:53,497,464,33
2013-04-29 10:54,495,463,32
2013-04-29 10:55,492,461,31
2013-04-29 10:56,491,459,32
2013-04-29 10:57,488,457,31
2013-04-29 10:58,486,455,31
2013-04-29 10:59,485,454,31
2013-04-29 11:00,482,452,30
2013-04-29 11:01,480,450,30
2013-04-29 11:02,479,449,30
2013-04-29 11:03,476,447,29
2013-04-29 11:04,474,445,29
2013-04-29 11:05,472,443,29
2013-04-29 11:06,470,442,28
2013-04-29 11:07,468,440,28
2013-04-29 11:08,467,439,28
2013-04-29 11:09,464,437,27
2013-04-29 11:10,463,435,28
2013-04-29 11:11,460,434,26
2013-04-29 11:12,458,432,26
2013-04-29 11:13,456,430,26
2013-04-29 11:14,454,429,25
2013-04-29 11:15,452,427,25
2013-04-29 11:16,450,426,24
2013-04-29 11:17,448,424,24
2013-04-29 11:18,446,423,23
2013-04-29 11:19,444,421,23
2013-04-29 11:20,442,420,22
2013-04-29 11:21,440,418,22
2013-04-29 11:22,438,417,21
2013-04-29 11:23,436,415,21
2013-04-29 11:24,434,414,20
2013-04-29 11:25,432,412,20
2013-04-29 11:26,430,411,19
2013-04-29 11:27,428,409,19
2013-04-29 11:28,426,408,18
2013-04-29 11:29,425,406,19
2013-04-29 11:30,422,405,17
2013-04-29 11:31,420,403,17
2013-04-29 11:32,418,402,16
2013-04-29 11:33,417,401,16
2013-04-29 11:34,415,399,16
2013-04-29 11:35,413,398,15
2013-04-29 11:36,411,396,15
2013-04-29 11:37,409,395,14
2013-04-29 11:38,408,394,14
2013-04-29 11:39,406,392,14
2013-04-29 11:40,404,391,13
2013-04-29 11:41,402,389,13
2013-04-29 11:42,400,388,12
2013-04-29 11:43,398,387,11
2013-04-29 11:44,396,385,11
2013-04-29 11:45,395,384,11
2013-04-29 11:46,393,383,10
2013-04-29 11:47,391,381,10
2013-04-29 11:48,390,380,10
2013-04-29 11:49,388,379,9
2013-04-29 11:50,386,377,9
2013-04-29 11:51,384,376,8
2013-04-29 11:52,382,375,7
2013-04-29 11:53,381,373,8
2013-04-29 11:54,379,372,7
2013-04-29 11:55,377,371,6
2013-04-29 11:56,375,369,6
2013-04-29 11:57,374,368,6
2013-04-29 11:58,372,367,5
2013-04-29 11:59,371,365,6
2013-04-29 12:00,369,364,5
2013-04-29 12:01,367,363,4
2013-04-29 12:02,366,362,4
2013-04-29 12:03,363,360,3
2013-04-29 12:04,362,359,3
2013-04-29 12:05,360,358,2
2013-04-29 12:06,359,356,3
2013-04-29 12:07,357,355,2
2013-04-29 12:08,355,354,1
2013-04-29 12:09,354,352,2
2013-04-29 12:10,352,351,1
2013-04-29 12:11,351,350,1
2013-04-29 12:12,350,349,1
2013-04-29 12:13,348,347,1
2013-04-29 12:14,346,346,0
2013-04-29 12:15,345,345,0
2013-04-29 12:16,343,343,0
2013-04-29 12:17,342,342,0
2013-04-29 12:18,340,341,-1
2013-04-29 12:19,338,339,-1
2013-04-29 12:20,337,338,-1
2013-04-29 12:21,336,337,-1
2013-04-29 12:22,334,335,-1
2013-04-29 12:23,333,334,-1
2013-04-29 12:24,331,333,-2
2013-04-29 12:25,329,332,-3
2013-04-29 12:26,328,330,-2
2013-04-29 12:27,327,329,-2
2013-04-29 12:28,325,328,-3
2013-04-29 12:29,323,326,-3
2013-04-29 12:30,322,325,-3
2013-04-29 12:31,321,324,-3
2013-04-29 12:32,319,322,-3
2013-04-29 12:33,318,321,-3
2013-04-29 12:34,316,320,-4
2013-04-29 12:35,315,318,-3
2013-04-29 12:36,314,317,-3
2013-04-29 12:37,312,315,-3
2013-04-29 12:38,311,314,-3
2013-04-29 12:39,310,313,-3
2013-04-29 12:40,308,311,-3
2013-04-29 12:41,307,310,-3
2013-04-29 12:42,306,309,-3
2013-04-29 12:43,304,307,-3
2013-04-29 12:44,303,306,-3
2013-04-29 12:45,302,305,-3
2013-04-29 12:46,300,303,-3
2013-04-29 12:47,298,302,-4
2013-04-29 12:48,297,300,-3
2013-04-29 12:49,296,299,-3
2013-04-29 12:50,294,298,-4
2013-04-29 12:51,293,296,-3
2013-04-29 12:52,291,295,-4
2013-04-29 12:53,290,293,-3
2013-04-29 12:54,289,292,-3
2013-04-29 12:55,288,291,-3
2013-04-29 12:56,286,289,-3
2013-04-29 12:57,285,288,-3
2013-04-29 12:58,283,286,-3
2013-04-29 12:59,283,285,-2
2013-04-29 13:00,281,283,-2
2013-04-29 13:01,279,282,-3
2013-04-29 13:02,278,281,-3
2013-04-29 13:03,277,279,-2
2013-04-29 13:04,276,278,-2
2013-04-29 13:05,275,276,-1
2013-04-29 13:06,274,275,-1
2013-04-29 13:07,272,273,-1
2013-04-29 13:08,271,272,-1
2013-04-29 13:09,269,271,-2
2013-04-29 13:10,268,269,-1
2013-04-29 13:11,267,268,-1
2013-04-29 13:12,266,266,0
2013-04-29 13:13,265,265,0
2013-04-29 13:14,263,263,0
2013-04-29 13:15,262,262,0
2013-04-29 13:16,261,260,1
2013-04-29 13:17,260,259,1
2013-04-29 13:18,258,257,1
2013-04-29 13:19,257,256,1
2013-04-29 13:20,256,254,2
2013-04-29 13:21,254,253,1
2013-04-29 13:22,253,251,2
2013-04-29 13:23,252,250,2
2013-04-29 13:24,251,249,2
2013-04-29 13:25,250,247,3
2013-04-29 13:26,249,246,3
2013-04-29 13:27,248,244,4
2013-04-29 13:28,247,243,4
2013-04-29 13:29,246,241,5
2013-04-29 13:30,244,240,4
