관측시간,실측조위(Cm),예측조위(Cm),잔차(Cm)
2013-04-29 0:00,272,275,-3
2013-04-29 0:01,270,274,-4
2013-04-29 0:02,268,273,-5
2013-04-29 0:03,267,272,-5
2013-04-29 0:04,266,270,-4
2013-04-29 0:05,265,269,-4
2013-04-29 0:06,263,268,-5
2013-04-29 0:07,262,267,-5
2013-04-29 0:08,261,266,-5
2013-04-29 0:09,259,265,-6
2013-04-29 0:10,258,264,-6
2013-04-29 0:11,257,262,-5
2013-04-29 0:12,255,261,-6
2013-04-29 0:13,254,260,-6
2013-04-29 0:14,253,259,-6
2013-04-29 0:15,252,258,-6
2013-04-29 0:16,250,257,-7
2013-04-29 0:17,249,256,-7
2013-04-29 0:18,248,254,-6
2013-04-29 0:19,246,253,-7
2013-04-29 0:20,245,252,-7
2013-04-29 0:21,244,251,-7
2013-04-29 0:22,243,250,-7
2013-04-29 0:23,241,248,-7
2013-04-29 0:24,240,247,-7
2013-04-29 0:25,239,246,-7
2013-04-29 0:26,238,245,-7
2013-04-29 0:27,236,244,-8
2013-04-29 0:28,235,242,-7
2013-04-29 0:29,233,241,-8
2013-04-29 0:30,231,240,-9
2013-04-29 0:31,231,239,-8
2013-04-29 0:32,229,237,-8
2013-04-29 0:33,228,236,-8
2013-04-29 0:34,227,235,-8
2013-04-29 0:35,226,234,-8
2013-04-29 0:36,224,232,-8
2013-04-29 0:37,223,231,-8
2013-04-29 0:38,222,230,-8
2013-04-29 0:39,222,229,-7
2013-04-29 0:40,221,227,-6
2013-04-29 0:41,219,226,-7
2013-04-29 0:42,218,225,-7
2013-04-29 0:43,217,224,-7
2013-04-29 0:44,215,222,-7
2013-04-29 0:45,214,221,-7
2013-04-29 0:46,213,220,-7
2013-04-29 0:47,212,218,-6
2013-04-29 0:48,211,217,-6
2013-04-29 0:49,210,216,-6
2013-04-29 0:50,209,214,-5
2013-04-29 0:51,208,213,-5
2013-04-29 0:52,207,212,-5
2013-04-29 0:53,206,210,-4
2013-04-29 0:54,205,209,-4
2013-04-29 0:55,203,208,-5
2013-04-29 0:56,202,206,-4
2013-04-29 0:57,201,205,-4
2013-04-29 0:58,200,204,-4
2013-04-29 0:59,199,202,-3
2013-04-29 1:00,198,201,-3
2013-04-29 1:01,197,200,-3
2013-04-29 1:02,196,198,-2
2013-04-29 1:03,195,197,-2
2013-04-29 1:04,194,196,-2
2013-04-29 1:05,192,194,-2
2013-04-29 1:06,192,193,-1
2013-04-29 1:07,190,192,-2
2013-04-29 1:08,190,190,0
2013-04-29 1:09,188,189,-1
2013-04-29 1:10,187,188,-1
2013-04-29 1:11,186,186,0
2013-04-29 1:12,185,185,0
2013-04-29 1:13,184,184,0
2013-04-29 1:14,183,182,1
2013-04-29 1:15,182,181,1
2013-04-29 1:16,181,180,1
2013-04-29 1:17,180,178,2
2013-04-29 1:18,179,177,2
2013-04-29 1:19,178,175,3
2013-04-29 1:20,177,174,3
2013-04-29 1:21,175,173,2
2013-04-29 1:22,175,171,4
2013-04-29 1:23,174,170,4
2013-04-29 1:24,173,169,4
2013-04-29 1:25,172,167,5
2013-04-29 1:26,171,166,5
2013-04-29 1:27,169,165,4
2013-04-29 1:28,169,163,6
2013-04-29 1:29,168,162,6
2013-04-29 1:30,167,161,6
2013-04-29 1:31,166,159,7
2013-04-29 1:32,165,158,7
2013-04-29 1:33,164,157,7
2013-04-29 1:34,162,156,6
2013-04-29 1:35,162,154,8
2013-04-29 1:36,161,153,8
2013-04-29 1:37,159,152,7
2013-04-29 1:38,158,150,8
2013-04-29 1:39,157,149,8
2013-04-29 1:40,156,148,8
2013-04-29 1:41,155,146,9
2013-04-29 1:42,154,145,9
2013-04-29 1:43,153,144,9
2013-04-29 1:44,152,143,9
2013-04-29 1:45,151,141,10
2013-04-29 1:46,150,140,10
2013-04-29 1:47,149,139,10
2013-04-29 1:48,148,138,10
2013-04-29 1:49,147,136,11
2013-04-29 1:50,147,135,12
2013-04-29 1:51,146,134,12
2013-04-29 1:52,144,133,11
2013-04-29 1:53,143,132,11
2013-04-29 1:54,142,130,12
2013-04-29 1:55,140,129,11
2013-04-29 1:56,140,128,12
2013-04-29 1:57,139,127,12
2013-04-29 1:58,138,126,12
2013-04-29 1:59,137,125,12
2013-04-29 2:00,136,124,12
2013-04-29 2:01,135,122,13
2013-04-29 2:02,134,121,13
2013-04-29 2:03,134,120,14
2013-04-29 2:04,132,119,13
2013-04-29 2:05,131,118,13
2013-04-29 2:06,130,117,13
2013-04-29 2:07,129,116,13
2013-04-29 2:08,129,115,14
2013-04-29 2:09,128,114,14
2013-04-29 2:10,127,113,14
2013-04-29 2:11,126,112,14
2013-04-29 2:12,125,111,14
2013-04-29 2:13,124,110,14
2013-04-29 2:14,123,109,14
2013-04-29 2:15,122,108,14
2013-04-29 2:16,121,107,14
2013-04-29 2:17,121,106,15
2013-04-29 2:18,119,105,14
2013-04-29 2:19,119,104,15
2013-04-29 2:20,118,103,15
2013-04-29 2:21,116,102,14
2013-04-29 2:22,116,101,15
2013-04-29 2:23,115,101,14
2013-04-29 2:24,114,100,14
2013-04-29 2:25,113,99,14
2013-04-29 2:26,112,98,14
2013-04-29 2:27,112,97,15
2013-04-29 2:28,111,96,15
2013-04-29 2:29,110,96,14
2013-04-29 2:30,109,95,14
2013-04-29 2:31,109,94,15
2013-04-29 2:32,107,93,14
2013-04-29 2:33,106,93,13
2013-04-29 2:34,105,92,13
2013-04-29 2:35,105,91,14
2013-04-29 2:36,104,91,13
2013-04-29 2:37,103,90,13
2013-04-29 2:38,102,89,13
2013-04-29 2:39,101,89,12
2013-04-29 2:40,101,88,13
2013-04-29 2:41,99,87,12
2013-04-29 2:42,98,87,11
2013-04-29 2:43,97,86,11
2013-04-29 2:44,97,86,11
2013-04-29 2:45,96,85,11
2013-04-29 2:46,96,85,11
2013-04-29 2:47,95,84,11
2013-04-29 2:48,94,84,10
2013-04-29 2:49,94,83,11
2013-04-29 2:50,92,83,9
2013-04-29 2:51,92,82,10
2013-04-29 2:52,91,82,9
2013-04-29 2:53,90,82,8
2013-04-29 2:54,89,81,8
2013-04-29 2:55,89,81,8
2013-04-29 2:56,87,81,6
2013-04-29 2:57,86,80,6
2013-04-29 2:58,85,80,5
2013-04-29 2:59,84,80,4
2013-04-29 3:00,83,79,4
2013-04-29 3:01,84,79,5
2013-04-29 3:02,83,79,4
2013-04-29 3:03,81,79,2
2013-04-29 3:04,81,79,2
