,0
0,24.250
1,25.310
2,25.240
3,24.470
4,23.510
5,23.320
6,23.230
7,23.650
8,23.830
9,24.240
10,24.670
11,24.840
12,24.590
13,25.310
14,25.310
15,24.950
16,24.950
17,24.640
18,24.250
19,24.190
20,23.610
21,23.610
22,23.880
23,23.970
24,24.250
25,24.280
26,24.280
27,24.280
28,24.430
29,24.350
30,24.250
31,24.280
32,24.280
33,24.280
34,24.280
35,24.280
36,24.250
37,24.280
38,24.280
39,24.280
40,24.280
41,24.280
42,24.250
43,24.640
44,24.380
45,24.280
46,24.640
47,24.640
48,24.930
49,24.950
50,24.850
51,24.770
52,24.770
53,24.950
54,24.930
55,24.950
56,24.950
57,24.950
58,24.950
59,25.010
