,0
0,30.770
1,30.770
2,30.770
3,30.770
4,30.770
5,30.770
6,30.410
7,30.410
8,30.040
9,30.040
10,30.410
11,31.140
12,31.140
13,31.140
14,31.140
15,31.140
16,31.140
17,31.140
18,31.140
19,30.770
20,30.770
21,30.770
22,30.770
23,30.770
24,30.770
25,31.140
26,31.140
27,31.140
28,31.140
29,31.140
30,31.140
31,31.500
32,31.500
33,31.500
34,31.140
35,31.140
36,31.140
37,31.140
38,31.140
39,31.140
40,31.140
41,31.140
42,31.140
43,31.140
44,31.500
45,31.500
46,31.860
47,31.860
48,31.860
49,31.860
50,31.860
51,31.860
52,31.860
53,31.860
54,31.500
55,31.500
56,31.500
57,31.500
58,31.860
59,31.860
