,0
0,25.270
1,24.170
2,23.430
3,23.390
4,23.260
5,23.090
6,23.790
7,23.430
8,23.430
9,23.430
10,23.480
11,23.560
12,23.040
13,23.430
14,23.430
15,23.330
16,23.430
17,23.260
18,23.410
19,22.950
20,22.700
21,22.700
22,22.540
23,22.480
24,22.670
25,22.350
26,22.350
27,22.350
28,22.350
29,22.340
30,22.300
31,22.080
32,21.960
33,21.960
34,22.350
35,21.960
36,21.930
37,21.960
38,21.960
39,21.960
40,21.960
41,21.960
42,22.300
43,21.560
44,21.560
45,21.760
46,22.120
47,22.670
48,21.930
49,22.700
50,22.700
51,22.700
52,23.090
53,22.700
54,22.300
55,22.350
56,22.350
57,22.350
58,22.350
59,22.350
