,0
0,23.040
1,24.760
2,23.970
3,23.610
4,23.390
5,23.530
6,23.410
7,23.710
8,23.790
9,24.160
10,24.590
11,25.010
12,24.530
13,25.270
14,25.420
15,25.430
16,25.480
17,25.350
18,25.270
19,25.240
20,25.240
21,25.090
22,23.950
23,24.080
24,25.640
25,24.440
26,24.350
27,25.010
28,25.220
29,25.350
30,26.010
31,28.260
32,26.800
33,27.170
34,27.460
35,27.200
36,27.110
37,27.170
38,26.540
39,25.930
40,26.120
41,26.690
42,27.850
43,27.190
44,27.700
45,27.650
46,28.630
47,28.620
48,28.580
49,28.730
50,28.950
51,29.660
52,30.170
53,30.570
54,28.580
55,28.600
56,29.500
57,29.790
58,29.460
59,29.210
