,0
0,35.480
1,35.480
2,35.120
3,35.120
4,35.120
5,35.120
6,35.120
7,35.120
8,35.120
9,35.120
10,35.120
11,35.120
12,35.120
13,35.120
14,35.120
15,35.120
16,35.120
17,34.760
18,34.760
19,34.760
20,34.760
21,34.760
22,34.760
23,34.400
24,34.400
25,34.400
26,34.400
27,34.400
28,34.400
29,34.400
30,34.400
31,34.400
32,34.400
33,34.400
34,34.400
35,34.400
36,34.400
37,34.400
38,34.400
39,34.040
40,34.400
41,34.400
42,34.760
43,35.120
44,34.760
45,34.760
46,34.760
47,34.760
48,34.760
49,34.760
50,34.400
51,34.400
52,34.400
53,34.400
54,34.400
55,34.400
56,34.760
57,34.760
58,34.760
59,34.760
