,0
0,28.950
1,28.580
2,28.580
3,28.580
4,28.580
5,28.580
6,28.580
7,28.580
8,28.580
9,28.210
10,28.580
11,28.580
12,28.580
13,28.580
14,28.950
15,28.950
16,28.950
17,28.950
18,28.950
19,28.950
20,28.950
21,28.950
22,28.950
23,28.950
24,28.950
25,28.950
26,28.950
27,28.950
28,28.950
29,28.950
30,28.950
31,28.950
32,28.950
33,28.950
34,28.950
35,28.950
36,28.950
37,28.950
38,29.310
39,29.310
40,29.310
41,30.410
42,30.770
43,31.140
44,31.140
45,31.140
46,31.140
47,31.140
48,31.140
49,31.140
50,31.140
51,31.140
52,31.140
53,31.140
54,31.140
55,31.500
56,31.860
57,31.860
58,32.230
59,32.590
