,0
0,13.300
1,14.740
2,14.390
3,14.390
4,14.060
5,13.670
6,13.670
7,13.590
8,12.270
9,12.060
10,11.940
11,12.390
12,11.860
13,12.410
14,11.680
15,12.600
16,12.630
17,12.630
18,11.860
19,11.910
20,11.550
21,11.120
22,10.840
23,10.810
24,10.780
25,10.460
26,10.340
27,10.090
28,10.090
29,10.090
30,9.690
31,9.710
32,9.710
33,9.710
34,9.710
35,9.130
36,8.970
37,8.990
38,8.800
39,8.660
40,8.660
41,8.660
42,7.890
43,7.620
44,7.560
45,7.560
46,7.560
47,7.170
48,7.530
49,7.960
50,8.800
51,8.660
52,8.980
53,8.990
54,7.530
55,8.870
56,8.200
57,8.180
58,7.940
59,7.560
