,0
0,26.370
1,26.370
2,26.370
3,26.370
4,26.010
5,26.010
6,25.640
7,25.640
8,25.640
9,25.640
10,25.640
11,25.640
12,25.270
13,25.270
14,25.270
15,25.270
16,25.270
17,25.270
18,25.270
19,25.270
20,25.270
21,25.270
22,25.270
23,25.270
24,24.900
25,24.900
26,24.900
27,24.900
28,24.530
29,24.530
30,24.530
31,24.530
32,24.530
33,24.530
34,24.900
35,25.270
36,25.270
37,25.270
38,25.270
39,25.270
40,25.270
41,25.270
42,25.270
43,25.270
44,24.900
45,24.900
46,24.900
47,24.900
48,24.900
49,25.270
50,25.270
51,25.270
52,25.640
53,25.640
54,25.640
55,25.640
56,25.640
57,25.640
58,25.640
59,25.640
