,0
0,8.610
1,9.710
2,9.080
3,8.990
4,8.680
5,8.660
6,8.610
7,8.660
8,8.660
9,8.660
10,8.660
11,8.990
12,9.330
13,9.710
14,9.710
15,9.710
16,9.710
17,9.710
18,9.690
19,9.710
20,9.710
21,9.710
22,10.090
23,10.090
24,10.050
25,9.400
26,9.600
27,9.180
28,9.040
29,9.110
30,8.610
31,8.660
32,8.450
33,8.590
34,8.400
35,8.450
36,8.610
37,8.270
38,8.270
39,8.040
40,8.270
41,7.940
42,7.890
43,7.940
44,7.560
45,7.560
46,7.560
47,7.260
48,7.890
49,7.170
50,6.940
51,6.840
52,7.320
53,7.940
54,7.890
55,7.940
56,7.940
57,7.940
58,7.940
59,7.940
