,0
0,30.040
1,30.040
2,30.410
3,30.770
4,30.770
5,30.040
6,30.040
7,30.410
8,30.040
9,30.040
10,30.040
11,30.040
12,30.040
13,30.040
14,30.040
15,30.040
16,30.040
17,30.040
18,30.040
19,29.310
20,29.310
21,29.310
22,29.310
23,29.310
24,29.310
25,29.310
26,30.410
27,30.410
28,30.770
29,30.770
30,30.770
31,31.140
32,31.140
33,31.140
34,30.770
35,30.410
36,30.410
37,30.410
38,30.410
39,30.410
40,30.410
41,31.140
42,31.140
43,31.140
44,31.140
45,31.140
46,31.500
47,31.500
48,31.500
49,31.500
50,31.500
51,31.500
52,31.140
53,31.140
54,31.140
55,31.140
56,31.500
57,31.500
58,31.500
59,31.860
